Comment,Domain,Sarcasm
Brilliant — the health app counted my anxiety as steps.,healthcare,Yes
The hotel's city map was accurate and genuinely useful.,hotels,No
Loved the beautiful view of the ventilation shaft.,hotels,Yes
Fantastic — the 'fresh flowers' in the room were plastic.,hotels,Yes
The craft beer list was curated with obvious knowledge.,restaurants,No
Great — the 'kid-proof' cap was child-opened in two seconds.,ecommerce,Yes
Great story — recycled from five better movies.,movies,Yes
The app doesn't request contacts for unrelated reasons.,apps,No
Great — the score was louder during dialogue than during action.,movies,Yes
Brilliant — the pharmacy auto-refill sent medication I no longer needed.,healthcare,Yes
Two-factor authentication setup was easy and reliable.,apps,No
Wonderful — the biopic left out everything interesting about the subject.,movies,Yes
Loved the character development — there was none.,movies,Yes
Brilliant — the cable organiser created more cable chaos.,ecommerce,Yes
The adjustable settings make it suitable for all ages.,ecommerce,No
Fantastic — the collapsible straws collapsed mid-sip.,ecommerce,Yes
Great — the medical certificate had the wrong dates.,healthcare,Yes
Super — auto-rotate activates only when I don't want it.,apps,Yes
Wonderful stay — the AC broke on the hottest night of the year.,hotels,Yes
"Great — the dialogue cracked every joke, then explained it.",movies,Yes
Great — the mini projector had a resolution lower than my eyes.,ecommerce,Yes
"The specials were genuinely special, not just leftover promotions.",restaurants,No
Loved the update that made the font unreadably small.,apps,Yes
Loved the flat-pack bed that needed 14 tools I didn't own.,ecommerce,Yes
Breakfast selection was varied and all items were fresh.,hotels,No
The physiotherapy exercises were demonstrated clearly.,healthcare,No
Wonderful — the dog toy was destroyed before my dog saw it.,ecommerce,Yes
The health educator's session was informative and interactive.,healthcare,No
Super — the dark theme still has glaring white flashes.,apps,Yes
Great — the film's message contradicted itself three times.,movies,Yes
Seller proactively notified me of a slight shipping delay.,ecommerce,No
Loved the insulated water bottle that lost insulation within a week.,ecommerce,Yes
Super — the 'soundproof' room perfectly transmitted the road noise.,hotels,Yes
The telehealth follow-up was as thorough as an in-person visit.,healthcare,No
The romantic chemistry was believable from the first scene.,movies,No
Super — the breakfast buffet closed at 7am.,hotels,Yes
Account deletion is straightforward and completes immediately.,apps,No
Brilliant — the 'handmade' gnocchi was clearly from a packet.,restaurants,Yes
Love how the app drains my battery in 10 minutes.,apps,Yes
The dermatologist identified the condition on the first visit.,healthcare,No
Loved the new animation that hides the button I need.,apps,Yes
The third act paid off every thread from the first two.,movies,No
Themes apply consistently across all app screens.,apps,No
Brilliant — the health insurance pre-authorisation took six weeks.,healthcare,Yes
Loved the menu that described everything poetically and delivered nothing.,restaurants,Yes
Wonderful packaging — arrived completely crushed.,ecommerce,Yes
Loved the restaurant that apologised for every dish without improving any.,restaurants,Yes
The brand honoured its warranty without needing a receipt.,ecommerce,No
Loved the musical number that appeared from nowhere and went nowhere.,movies,Yes
Great — the out-of-hours line played hold music and then disconnected.,healthcare,Yes
Brilliant film — the plot made zero sense from beginning to end.,movies,Yes
"The bed linen was crisp, white, and freshly pressed.",hotels,No
The blackout curtains blocked every bit of morning light.,hotels,No
The film balanced its tones — funny and moving in equal measure.,movies,No
Fantastic seller — sent the wrong size and color.,ecommerce,Yes
Returns process was smooth — label provided instantly.,ecommerce,No
Loved the 'urgent care' that took five hours to see me.,healthcare,Yes
The food arrived hot and the portion size was generous.,restaurants,No
Wonderful — the 'fast shipping' badge meant six-week delivery.,ecommerce,Yes
The shuttle ran on schedule and the driver was helpful.,hotels,No
Great — the bread arrived with the dessert.,restaurants,Yes
"Super — the hero's arc was: good person → good person, no change.",movies,Yes
The item was packaged in recycled materials — appreciated.,ecommerce,No
Themes apply consistently across all app screens.,apps,No
Brilliant — the health app counted my anxiety as steps.,healthcare,Yes
Passcode protection locks the app reliably when set.,apps,No
Super — the 'scratch-resistant' watch face scratched first day.,ecommerce,Yes
The film trusted silence more than most — beautifully effective.,movies,No
The appointment started on time without any wait.,healthcare,No
The rooftop restaurant had outstanding service and food.,hotels,No
The app correctly remembers where I left off.,apps,No
Brilliant — the 3-in-1 tool did none of the three things.,ecommerce,Yes
Collaboration features worked smoothly during our team session.,apps,No
The product came pre-calibrated and was accurate out of the box.,ecommerce,No
Super — the 'complimentary' shuttle ran once a day.,hotels,Yes
Battery usage is minimal compared to similar apps.,apps,No
Loved the experimental film that experimented with my patience.,movies,Yes
Love how my test results took two months to arrive.,healthcare,Yes
Wonderful — every rating I save gets reset.,apps,Yes
The sommelier's recommendation was memorable and affordable.,restaurants,No
The colour in person is identical to the website photo.,ecommerce,No
The spare parts are readily available and affordable.,ecommerce,No
The counsellor's advice was practical and immediately useful.,healthcare,No
Brilliant — the ensemble cast spent the film ignoring each other.,movies,Yes
Love how the map feature never loads my location.,apps,Yes
The app's battery widget shows accurate real-time data.,apps,No
Fantastic — the cardiologist's office lost my ECG three times.,healthcare,Yes
Loved the 'improved' search that now shows zero results.,apps,Yes
"The waiting area was clean, quiet, and comfortable.",healthcare,No
Housekeeping was thorough and left the room immaculate.,hotels,No
Loved the clinic that closed for 'maintenance' without notifying patients.,healthcare,Yes
The cheese board was a regional education in itself.,restaurants,No
The map loads quickly even in low-signal areas.,apps,No
The chronic disease nurse checks in monthly — very reassuring.,healthcare,No
Brilliant — the late checkout I paid for was ignored.,hotels,Yes
Super — the monitor arm drooped immediately under the weight.,ecommerce,Yes
The editing made a complex story easy to follow.,movies,No
Wonderful — the 'quick blood test' required three visits to complete.,healthcare,Yes
Great customer service — they never replied to my complaint.,ecommerce,Yes
The restaurant met every expectation set by its reputation.,restaurants,No
Fantastic — the GPS tracker tracked everything except my item.,ecommerce,Yes
Collaboration features worked smoothly during our team session.,apps,No
The cinematography was breathtaking from the first frame.,movies,No
Product is durable — still performing well after six months.,ecommerce,No
Remarkable app — video playback buffers every 10 seconds.,apps,Yes
Wonderful — the aromatherapy diffuser diffused only water.,ecommerce,Yes
Super — the 'light bite' starter weighed more than the main.,restaurants,Yes
Great — the magnetic phone case demagnetised my bank cards.,ecommerce,Yes
Super — the 'soundproof' room perfectly transmitted the road noise.,hotels,Yes
The film respected its antagonist enough to give them real depth.,movies,No
The child-audience film worked equally well for adults.,movies,No
Fantastic — the 'quiet lunch' turned into a corporate event.,restaurants,Yes
Feedback submitted through the app received a response.,apps,No
Loved the menu that described everything poetically and delivered nothing.,restaurants,Yes
Loved the experimental film that experimented with my patience.,movies,Yes
The reservation reminder included parking tips — very thoughtful.,restaurants,No
Brilliant — the shower had two temperatures: cold and colder.,hotels,Yes
Wonderful — the 'memory foam' pillow has the density of a brick.,ecommerce,Yes
The gratuity-included policy was transparent and appreciated.,restaurants,No
Brilliant — the 'sea view' was visible if you opened the window and craned your neck.,hotels,Yes
The villain's motivation was credible and even sympathetic.,movies,No
Character arcs were earned and felt true to each person.,movies,No
The shuttle met us at arrivals with a name board.,hotels,No
The hospital stay was clean and the staff were attentive.,healthcare,No
Wonderful — the opening credits set a mood the rest of the film abandoned.,movies,Yes
Brilliant — the app tracks my location even when closed.,apps,Yes
Loved the 'generous portion' that fit on a dessert spoon.,restaurants,Yes
Staff were knowledgeable about every dish on the menu.,restaurants,No
The history log is detailed and easy to scroll.,apps,No
The seller's thank-you note was a nice personal touch.,ecommerce,No
The product exceeded the average user rating — deserved.,ecommerce,No
Remarkable app — video playback buffers every 10 seconds.,apps,Yes
Loved the night-vision camera that saw only darkness.,ecommerce,Yes
Great — the mini projector had a resolution lower than my eyes.,ecommerce,Yes
Super — the VIP upgrade came with a complimentary broken hairdryer.,hotels,Yes
Multiple colour options were accurate when compared in person.,ecommerce,No
Super — the hospital cafeteria served nothing a patient could actually eat.,healthcare,Yes
The product came with a detailed user manual in my language.,ecommerce,No
The dual timeline structure was handled with rare precision.,movies,No
I found a lost item in a drawer and it was returned within the hour.,hotels,No
Loved the musical number that appeared from nowhere and went nowhere.,movies,Yes
The app's battery widget shows accurate real-time data.,apps,No
I followed up after a month — product still performing well.,ecommerce,No
The spa was relaxing and the staff were professional.,hotels,No
Super — the hotel advertised a gym with two broken treadmills.,hotels,Yes
Fantastic — the pool towels ran out by 8am.,hotels,Yes
The app uses my device's native share sheet correctly.,apps,No
Brilliant — the fusion restaurant fused confusion with disappointment.,restaurants,Yes
Fantastic — the clinic printer broke and they couldn't issue a prescription.,healthcare,Yes
Loved the 5-star experience that felt firmly 1-star.,hotels,Yes
Loved the 'airtight' container that let everything go stale.,ecommerce,Yes
Colour accuracy is great for a monitor at this price.,ecommerce,No
Wonderful — the degustation was served at the speed of geological change.,restaurants,Yes
The service was coordinated — every dish arrived simultaneously.,restaurants,No
The clinic's infection control was visibly thorough.,healthcare,No
Great — the extra bed request was forgotten every day.,hotels,Yes
The newspaper selection included an international option.,hotels,No
Wonderful — the smell-proof bag made everything smell.,ecommerce,Yes
The pillow menu worked — I slept far better with the swap.,hotels,No
The hospital food met my dietary requirements accurately.,healthcare,No
Wonderful — the audio quality got worse with HD mode on.,apps,Yes
Brilliant — the animated film was better as a book.,movies,Yes
Great — the express checkout still took 40 minutes.,hotels,Yes
The dark mode is easy on the eyes at night.,apps,No
"Wonderful — the dietitian told me to eat less, charged me $300.",healthcare,Yes
Wonderful — the mystery's detective was less observant than the audience.,movies,Yes
Wonderful clinic — waited three hours past my appointment time.,healthcare,Yes
Product matches the photos precisely — no surprises.,ecommerce,No
Great — the concierge recommended a restaurant that was closed.,hotels,Yes
The hotel's charity partnership added a meaningful element to the stay.,hotels,No
Wonderful — the skip-intro button appears after the intro ends.,apps,Yes
Customer support responded within an hour and fixed my issue.,apps,No
So relieved the new update removed the undo button.,apps,Yes
Brilliant — the animated film was better as a book.,movies,Yes
The bundle deal saved me a significant amount.,ecommerce,No
Fantastic — the clinic printer broke and they couldn't issue a prescription.,healthcare,Yes
The late checkout was granted without any additional charge.,hotels,No
Fantastic — the bill included a dish for a table of 20.,restaurants,Yes
The nurse clearly explained how to prepare for the procedure.,healthcare,No
The packaging was sturdy and the product was undamaged.,ecommerce,No
The staff handled a large party efficiently and cheerfully.,restaurants,No
The cleaning kit included every tool I needed.,ecommerce,No
"The waiting area was clean, quiet, and comfortable.",healthcare,No
The chef came out to explain the tasting menu — a lovely touch.,restaurants,No
Super — the sequel's villain was less threatening than a mild inconvenience.,movies,Yes
The restaurant's sourcing story added genuine meaning to the meal.,restaurants,No
Super — the table next to the kitchen was described as 'exclusive.',restaurants,Yes
Loved the origin story we were given for a character we didn't care about.,movies,Yes
Wonderful animation — the mouths never matched the words.,movies,Yes
Item weight is negligible — easy to carry all day.,ecommerce,No
Great — the solar charger only works indoors apparently.,ecommerce,Yes
The ophthalmologist's treatment improved my vision measurably.,healthcare,No
Brilliant — the check-out receipt included charges from 2019.,hotels,Yes
Wonderful — the daily streak broke because of a server error.,apps,Yes
Brilliant — the cable organiser created more cable chaos.,ecommerce,Yes
Two-factor authentication setup was easy and reliable.,apps,No
Wonderful that the app restarts whenever I receive a call.,apps,Yes
Staff recognised me as a returning guest and greeted me by name.,hotels,No
The doctor took time to explain every option thoroughly.,healthcare,No
The colour-blind mode makes the app fully accessible.,apps,No
Great — the minibar fridge kept items at room temperature.,hotels,Yes
My allergy was taken seriously and flagged to the kitchen.,restaurants,No
The companion web app stays in sync perfectly.,apps,No
Fantastic — the director's cameo was longer than the plot.,movies,Yes
The appointment started on time without any wait.,healthcare,No
Great — the 'high-absorbency' towel left me wetter.,ecommerce,Yes
The health educator's session was informative and interactive.,healthcare,No
Wonderful — the aromatherapy diffuser diffused only water.,ecommerce,Yes
Wonderful animation — the mouths never matched the words.,movies,Yes
The seller's thank-you note was a nice personal touch.,ecommerce,No
Super — the doctor spent the consultation typing and never looked up.,healthcare,Yes
Super — the outdoor pool was classified as 'heated' at 15°C.,hotels,Yes
Brilliant — the fingerprint login works 1 in 10 times.,apps,Yes
Wonderful — the chat emoji picker crashes every time.,apps,Yes
Dietary needs at breakfast were met without fuss.,hotels,No
Such fun navigating menus that are six levels deep.,apps,Yes
Super — the patient questionnaire asked for information already on file.,healthcare,Yes
Brilliant — enabling Wi-Fi calling disables regular calling.,apps,Yes
Super — the room card stopped working four times a day.,hotels,Yes
The kitchen sent out an extra course as thanks for waiting — appreciated.,restaurants,No
Loved the five-minute action sequence that rendered 90 minutes pointless.,movies,Yes
Love how the contact import duplicates every entry.,apps,Yes
Great — the telehealth call dropped three times mid-diagnosis.,healthcare,Yes
Super — the allergy test results were emailed to the wrong patient.,healthcare,Yes
The period detail was meticulous without being distracting.,movies,No
The trial period was genuinely no-questions-asked.,ecommerce,No
Brilliant — the podiatrist's orthotics fit neither foot.,healthcare,Yes
Great — the physiotherapist prescribed exercises that made my injury worse.,healthcare,Yes
The vegetarian option was as considered as any meat dish.,restaurants,No
The map loads quickly even in low-signal areas.,apps,No
Great — the specialist requested tests my GP had already run.,healthcare,Yes
Fantastic — the telehealth platform crashed mid-prescription.,healthcare,Yes
Fantastic — the tasting notes said 'hints of oak;' I tasted cardboard.,restaurants,Yes
Fantastic — the clinic's 'child-friendly' environment terrified every child.,healthcare,Yes
The after-hours line was answered within three minutes.,healthcare,No
The practice nurse was thorough during my annual check.,healthcare,No
The in-app browser opens links cleanly without redirects.,apps,No
Super — the GP referred me to a specialist who doesn't accept my insurance.,healthcare,Yes
Fantastic — the 'complimentary champagne' was flat orange juice.,hotels,Yes
Staff addressed every request promptly and cheerfully.,hotels,No
The restaurant met every expectation set by its reputation.,restaurants,No
Room service delivered a hot meal in 25 minutes.,hotels,No
Love how I have to sign up to read anything.,apps,Yes
Loved the 'stability improvements' that added new crashes.,apps,Yes
