Comment,Sentiment
I've seen better and I've seen worse.,neutral
The course content was outdated and inaccurate.,negative
The experience left me feeling worse than before.,negative
The appointment ran slightly over time without impacting the quality.,neutral
Decent quality for what it is.,neutral
The interface is intuitive and a pleasure to use.,positive
The portions were generous and the ingredients clearly fresh.,positive
I particularly appreciated how the results were communicated clearly.,positive
Every detail shows real craftsmanship.,positive
The manager was condescending and offered no solution.,negative
The entire process was opaque and frustrating.,negative
"I wouldn't specifically recommend it, but I wouldn't discourage it.",neutral
No complaints — no particular compliments either.,neutral
This is exactly what I needed at exactly the right time.,positive
Three separate errors on my invoice.,negative
The pharmacy dispensed the wrong medication.,negative
The product's performance was a fraction of what was advertised.,negative
The entire team seemed undertrained and overwhelmed.,negative
Three weeks late and arrived damaged.,negative
The customer service was the most frustrating I have encountered.,negative
The packaging was functional if not aesthetically interesting.,neutral
The quality is shocking for the price charged.,negative
The concert hall acoustics were phenomenal.,positive
The staff ignored my disability and provided no assistance.,negative
The portion size was acceptable.,neutral
The experience left me feeling worse than before.,negative
The refund was processed within 24 hours — no questions asked.,positive
I appreciated the handwritten note inside the package.,positive
The instructions were adequate once I reread them.,neutral
The experience was what I expected — no surprises either way.,neutral
The background music was appropriate but generic.,neutral
The value for money here is genuinely hard to beat.,positive
The experience left me with nothing to complain about.,positive
The product broke within a week of use.,negative
The warranty claim was handled promptly and professionally.,positive
The entire team seemed undertrained and overwhelmed.,negative
I reported a bug six months ago and it's still present.,negative
The manager was condescending and offered no solution.,negative
I was blown away by the attention to detail.,positive
The noise from adjacent rooms made sleeping impossible.,negative
The film was two hours of my life I want back.,negative
The training sessions were practical and immediately applicable.,positive
The registration process took the expected amount of time.,neutral
This exceeded the already-high reviews I had read.,positive
Works perfectly right out of the box.,positive
The entire team seemed undertrained and overwhelmed.,negative
The staff recognised my special occasion and added a lovely touch.,positive
I've tried several alternatives and this is by far the best.,positive
I was charged twice and waited weeks for a resolution.,negative
The booking process was smooth and clear.,positive
Shipping was fast and the item was well packaged.,positive
It performs adequately under normal conditions.,neutral
The booking confirmation arrived within the standard window.,neutral
I asked for a refund and was ignored.,negative
The room was not cleaned between guests.,negative
I have used this daily for a year with zero issues.,positive
The warranty claim was handled promptly and professionally.,positive
It performs adequately under normal conditions.,neutral
The food gave me food poisoning.,negative
The experience made me deeply anxious about the standard of care.,negative
The service was adequate but not memorable.,neutral
The subscription has paid for itself three times over.,positive
The staff ignored my disability and provided no assistance.,negative
The doctor was dismissive and failed to examine me.,negative
The staff went out of their way to accommodate my allergy.,positive
The vehicle was not roadworthy and was still hired out.,negative
The doctor answered every question without making me feel rushed.,positive
Five stars without hesitation.,positive
The staff behaved unprofessionally throughout.,negative
The driver was rude and the vehicle was unsafe.,negative
The product is reliable enough for occasional use.,neutral
The portion size was acceptable.,neutral
"The product does what it says — nothing more, nothing less.",neutral
Delivery was on the earlier end of the stated window.,neutral
The entire process was opaque and frustrating.,negative
"I've stayed in better hotels, but also in worse ones.",neutral
It gets the job done.,neutral
I asked for a refund and was ignored.,negative
"The food was hot, fresh, and well-seasoned.",positive
Hidden fees made the final cost significantly higher.,negative
Hidden fees made the final cost significantly higher.,negative
I was blown away by the attention to detail.,positive
The temperature was dangerous — not the stated 'warm.',negative
The design is straightforward and sensible.,neutral
I appreciated the handwritten note inside the package.,positive
The misleading description should face regulatory scrutiny.,negative
Everything arrived correctly labelled and ready to use.,positive
"I've stayed in better hotels, but also in worse ones.",neutral
The worst experience I have had in years.,negative
The item arrived with visible damage and no apology.,negative
The entire process was opaque and frustrating.,negative
The build feels solid enough for the price.,neutral
"Not bad, but there are likely better options at this price.",neutral
"The product does what it says — nothing more, nothing less.",neutral
The tablet's performance is adequate for basic tasks.,neutral
A serviceable product for everyday use.,neutral
The service was correctly described in the listing.,neutral
The product does the job it's sold for.,neutral
The platform's features covered my needs without going further.,neutral
Three separate errors on my invoice.,negative
The customer service interaction was pleasant but not standout.,neutral
The movie held my attention without captivating it.,neutral
The follow-up service was as good as the initial purchase.,positive
Entirely not fit for the purpose described.,negative
The delivery company lost my parcel and blamed me.,negative
The pricing is transparent with no hidden fees.,positive
I appreciated the handwritten note inside the package.,positive
The hotel's advertised amenities were unavailable.,negative
I have used this daily for a year with zero issues.,positive
The customer service interaction was pleasant but not standout.,neutral
Three separate errors on my invoice.,negative
The cheapest option I tested outperformed this premium one.,negative
The film moved me in ways I didn't expect.,positive
The checkout experience was stressful and broken.,negative
The features cover the essentials but lack depth.,neutral
The battery life is consistent with similar devices.,neutral
Delivery was on the earlier end of the stated window.,neutral
The product does the job it's sold for.,neutral
Standard quality for a mid-range product.,neutral
The packaging was deceptive — the product was much smaller.,negative
The experience left me neither enthusiastic nor disappointed.,neutral
The wi-fi worked for basic tasks.,neutral
The medication side effects were not disclosed.,negative
The experience has made me distrust this brand entirely.,negative
The doctor answered every question without making me feel rushed.,positive
The online review matched the reality exactly.,positive
The end result exceeded the brief I had given.,positive
The instructions were sufficient once I worked through them.,neutral
The wi-fi worked for basic tasks.,neutral
The wait was about average for this type of restaurant.,neutral
The seat was broken and no alternative was offered.,negative
Reasonable value for a standard product.,neutral
Brilliantly made — this will last years.,positive
The product is hazardous and should be recalled.,negative
The battery life is consistent with similar devices.,neutral
I was misquoted and then pressured to honour the higher price.,negative
I reported a bug six months ago and it's still present.,negative
The check-in process was the fastest I've ever experienced.,positive
The meal was filling without being particularly flavourful.,neutral
The movie's soundtrack was appropriate without standing out.,neutral
The product's durability after six months of daily use is impressive.,positive
The lecture content was correct if not engaging.,neutral
A rare product that delivers exactly what it advertises.,positive
The product poses a clear fire risk.,negative
The flavour was present but subtle.,neutral
The rental car was clean and functional.,neutral
Every detail shows real craftsmanship.,positive
The booking process was smooth and clear.,positive
The script and direction were both outstanding.,positive
I've filed a complaint with the relevant authority.,negative
Terrible service — I'll never return.,negative
The room was functional and clean.,neutral
The product exceeded all my expectations.,positive
The quality is shocking for the price charged.,negative
Service was both efficient and genuinely friendly.,positive
An ordinary result for an ordinary request.,neutral
The staff were professional without being stiff.,positive
The room was spotless and the view was spectacular.,positive
The hotel staff remembered my name from a previous stay.,positive
The features cover the essentials but lack depth.,neutral
Acceptable value for an occasional purchase.,neutral
The design is straightforward and sensible.,neutral
Three weeks late and arrived damaged.,negative
The room wasn't cleaned during my three-night stay.,negative
A serviceable product for everyday use.,neutral
Acceptable for a budget option.,neutral
The customer service interaction was pleasant but not standout.,neutral
The cancellation process was straightforward.,neutral
Refund was promised in writing and never received.,negative
The movie held my attention without captivating it.,neutral
The surgery recovery was more painful than described.,negative
The menu is varied enough for most tastes.,neutral
Shipping was fast and the item was well packaged.,positive
The warranty claim was rejected without explanation.,negative
The service was correctly described in the listing.,neutral
The store layout made finding everything easy.,positive
I was misquoted and then pressured to honour the higher price.,negative
Everything about this experience was first class.,positive
I was billed for a service I explicitly cancelled.,negative
The customer service was the most frustrating I have encountered.,negative
The room was not cleaned between guests.,negative
The film was competently made but unremarkable.,neutral
I regret every aspect of this purchase.,negative
The warranty claim was handled promptly and professionally.,positive
"I've stayed in better hotels, but also in worse ones.",neutral
The service was prompt without going above and beyond.,neutral
The medication side effects were not disclosed.,negative
The platform's features covered my needs without going further.,neutral
The online review matched the reality exactly.,positive
I've filed a complaint with the relevant authority.,negative
The movie's soundtrack was appropriate without standing out.,neutral
The worst experience I have had in years.,negative
The design is elegant and functional at the same time.,positive
The product stopped working after minimal use.,negative
The item was used despite being sold as new.,negative
The staff were fine — professional but not warm.,neutral
Standard quality for a mid-range product.,neutral
The product is reliable enough for occasional use.,neutral
The warranty claim was rejected without explanation.,negative
The tablet's performance is adequate for basic tasks.,neutral
The loyalty programme has been genuinely rewarding.,positive
The film's marketing was more interesting than the film.,negative
"The app works, though it could be more intuitive.",neutral
The check-in process was the fastest I've ever experienced.,positive
The room was not cleaned between guests.,negative
The concert hall acoustics were phenomenal.,positive
I asked for a refund and was ignored.,negative
The performance in cold weather exceeded the stated specs.,positive
The craftsmanship on this item is clearly hand-finished.,positive
The service was prompt without going above and beyond.,neutral
The product was sold past its expiry date.,negative
The renovation has transformed the property into something exceptional.,positive
The upgrade in materials is immediately noticeable.,positive
Truly one of the best apps I've installed.,positive
Everything arrived correctly labelled and ready to use.,positive
The product's durability after six months of daily use is impressive.,positive
My complaint was met with indifference.,negative
The flavour was rich and exactly what was promised.,positive
I was told to wait and then forgotten entirely.,negative
My personal data was shared without my consent.,negative
Worst value for money I have encountered.,negative
I was greeted warmly and made to feel genuinely welcome.,positive
It gets the job done.,neutral
The store layout made finding everything easy.,positive
The interface works beautifully on both desktop and mobile.,positive
The item was used despite being sold as new.,negative
The food gave me food poisoning.,negative
The product was counterfeit — not the brand advertised.,negative
It's an average experience for the price range.,neutral
Rude staff who made me feel unwelcome.,negative
"The doctor was thorough, attentive, and reassuring.",positive
The build feels solid enough for the price.,neutral
The vehicle was not roadworthy and was still hired out.,negative
Hidden fees made the final cost significantly higher.,negative
Every detail shows real craftsmanship.,positive
Terrible service — I'll never return.,negative
The experience left me feeling worse than before.,negative
The craftsmanship on this item is clearly hand-finished.,positive
My meal contained an allergen I had clearly declared.,negative
The product broke within a week of use.,negative
Arrived in perfect condition with excellent presentation.,positive
The booking confirmation arrived within the standard window.,neutral
The advertised discount was never applied.,negative
The lecture content was correct if not engaging.,neutral
The flavour was rich and exactly what was promised.,positive
The customer support team was incredibly helpful.,positive
The surgery recovery was more painful than described.,negative
The product has worked perfectly every single day.,positive
The cheapest option I tested outperformed this premium one.,negative
The app froze during a critical transaction.,negative
The return process was designed to discourage returns.,negative
The staff behaved unprofessionally throughout.,negative
The service was so poor I submitted a formal complaint.,negative
The experience met the description — no more.,neutral
"The product does what it says — nothing more, nothing less.",neutral
The experience has made me distrust this brand entirely.,negative
The app is straightforward to use for simple tasks.,neutral
The misleading description should face regulatory scrutiny.,negative
The surgery recovery was more painful than described.,negative
The product performs consistently under standard conditions.,neutral
I've been a loyal customer for three years and it keeps getting better.,positive
The customer support team was incredibly helpful.,positive
The texture and quality of the fabric are exceptional.,positive
The battery life is consistent with similar devices.,neutral
The booking process was standard and worked without issues.,neutral
The wi-fi worked for basic tasks.,neutral
The tablet's performance is adequate for basic tasks.,neutral
Service was both efficient and genuinely friendly.,positive
The performance in cold weather exceeded the stated specs.,positive
The battery life is consistent with similar devices.,neutral
The product was counterfeit — not the brand advertised.,negative
Every member of staff I encountered was helpful and professional.,positive
I'd use it again if no alternatives were available.,neutral
Standard quality for a mid-range product.,neutral
The rental car was clean and functional.,neutral
The breakfast selection was extensive and everything was fresh.,positive
The worst experience I have had in years.,negative
My meal contained an allergen I had clearly declared.,negative
Completely misrepresented in the listing.,negative
Worst value for money I have encountered.,negative
Customer service turned a potential problem into a positive experience.,positive
About what I expected for this price.,neutral
The experience left me with nothing to complain about.,positive
The cancellation process was straightforward.,neutral
The film was two hours of my life I want back.,negative
The booking process was smooth and clear.,positive
The experience left me with nothing to complain about.,positive
The product exceeded all my expectations.,positive
The repair was completed faster than quoted and cost less.,positive
The breakfast selection was extensive and everything was fresh.,positive
The product is unsafe and I nearly injured myself.,negative
Absolutely fantastic service from start to finish.,positive
Quality is reasonable for everyday use.,neutral
The refund was processed within the standard timeframe.,neutral
The portions were generous and the ingredients clearly fresh.,positive
The features cover the essentials but lack depth.,neutral
The staff ignored my disability and provided no assistance.,negative
The experience was what I expected — no surprises either way.,neutral
It's an average experience for the price range.,neutral
The lecture content was correct if not engaging.,neutral
The portion size was acceptable.,neutral
"The app works, though it could be more intuitive.",neutral
The refund was processed within 24 hours — no questions asked.,positive
The food arrived stone cold and inedible.,negative
The film was competently made but unremarkable.,neutral
Shipping was fast and the item was well packaged.,positive
Every detail shows real craftsmanship.,positive
"The food was hot, fresh, and well-seasoned.",positive
Everything arrived correctly labelled and ready to use.,positive
Best purchase I've made this year.,positive
The background music was appropriate but generic.,neutral
The lecture content was correct if not engaging.,neutral
The portion was adequate — neither generous nor stingy.,neutral
The bill was wrong by a significant margin.,negative
The product leaked within hours of first use.,negative
The service was correctly described in the listing.,neutral
I was pleasantly surprised by how well it performed.,positive
The product occupies a reasonable middle ground.,neutral
Arrived on time and in acceptable condition.,neutral
The doctor was dismissive and failed to examine me.,negative
"The app works, though it could be more intuitive.",neutral
I was kept on hold for two hours and disconnected.,negative
A rare product that delivers exactly what it advertises.,positive
The misleading description should face regulatory scrutiny.,negative
The room was functional and clean.,neutral
The experience was satisfactory.,neutral
The film was competently made but unremarkable.,neutral
The room was not cleaned between guests.,negative
Customer service followed the standard script competently.,neutral
The experience left me with nothing to complain about.,positive
The portions were generous and the ingredients clearly fresh.,positive
Works perfectly right out of the box.,positive
The food gave me food poisoning.,negative
Fine for a one-off purchase.,neutral
The craftsmanship on this item is clearly hand-finished.,positive
The instructions were wrong and caused me to damage the item.,negative
The product is unsafe and I nearly injured myself.,negative
The room was not cleaned between guests.,negative
The product broke within a week of use.,negative
The seller was aggressive when I raised the issue.,negative
The vehicle was not roadworthy and was still hired out.,negative
The interface works beautifully on both desktop and mobile.,positive
The concert hall acoustics were phenomenal.,positive
The entire team seemed undertrained and overwhelmed.,negative
The app is straightforward to use for simple tasks.,neutral
The movie told a coherent story without particular flair.,neutral
The entire team seemed undertrained and overwhelmed.,negative
My booking was cancelled without notice.,negative
The service I received was within the expected range.,neutral
Every member of staff I encountered was helpful and professional.,positive
The service was adequate but not memorable.,neutral
The service was polite but impersonal.,neutral
Reasonable value for a standard product.,neutral
Acceptable value for an occasional purchase.,neutral
The staff recognised my special occasion and added a lovely touch.,positive
An inoffensive and forgettable experience.,neutral
The doctor answered every question without making me feel rushed.,positive
Refund was promised in writing and never received.,negative
Everything about this experience was first class.,positive
The refund was processed within 24 hours — no questions asked.,positive
The product resolved my problem on the first use.,positive
The room was average in size and comfort.,neutral
The colour matched one of the product photo options.,neutral
Genuinely the best in its category.,positive
The ingredients were fresh enough.,neutral
The doctor answered every question without making me feel rushed.,positive
The wait was about average for this type of restaurant.,neutral
The wi-fi worked for basic tasks.,neutral
The customer support team was incredibly helpful.,positive
Rude staff who made me feel unwelcome.,negative
The documentation answered my question eventually.,neutral
"The food was hot, fresh, and well-seasoned.",positive
The food arrived stone cold and inedible.,negative
The vehicle was not roadworthy and was still hired out.,negative
The appointment was routine and uneventful.,neutral
The flavour was present but subtle.,neutral
Customer service turned a potential problem into a positive experience.,positive
Standard quality for a mid-range product.,neutral
The platform is reliable and the analytics are clear.,positive
A serviceable product for everyday use.,neutral
The seller was aggressive when I raised the issue.,negative
The coffee was average for the neighbourhood.,neutral
The film's ending was completely incoherent.,negative
The food was fine but not exceptional.,neutral
The experience was efficient and entirely adequate.,neutral
The movie held my attention without captivating it.,neutral
Truly one of the best apps I've installed.,positive
Brilliantly made — this will last years.,positive
The stay was the most unpleasant I've had.,negative
The app crashed and lost all my data.,negative
The product poses a clear fire risk.,negative
The product is hazardous and should be recalled.,negative
The warranty claim was handled promptly and professionally.,positive
The booking confirmation arrived within the standard window.,neutral
The online review matched the reality exactly.,positive
Every detail shows real craftsmanship.,positive
It functions as described in the listing.,neutral
The breakfast selection was extensive and everything was fresh.,positive
The product broke within a week of use.,negative
I appreciated the handwritten note inside the package.,positive
I particularly appreciated how the results were communicated clearly.,positive
The quality is outstanding for the price.,positive
The upgrade in materials is immediately noticeable.,positive
The battery life is consistent with similar devices.,neutral
The checkout was neither fast nor slow.,neutral
The app froze during a critical transaction.,negative
The misleading description should face regulatory scrutiny.,negative
Customer service followed the standard script competently.,neutral
The quality is outstanding for the price.,positive
Worst value for money I have encountered.,negative
The wi-fi worked for basic tasks.,neutral
The movie held my attention without captivating it.,neutral
Best purchase I've made this year.,positive
The GP dismissed my symptoms and they turned out to be serious.,negative
The room was dirty and smelled unpleasant.,negative
The value for money here is genuinely hard to beat.,positive
The upgrade in materials is immediately noticeable.,positive
The staff behaved unprofessionally throughout.,negative
The worst experience I have had in years.,negative
The service was correctly described in the listing.,neutral
Acceptable for a budget option.,neutral
The product stopped working after minimal use.,negative
It performs adequately under normal conditions.,neutral
The subscription has paid for itself three times over.,positive
I was blown away by the attention to detail.,positive
Three weeks late and arrived damaged.,negative
The instructions were wrong and caused me to damage the item.,negative
The product is unsafe and I nearly injured myself.,negative
A standout product in a crowded market.,positive
The experience left me feeling worse than before.,negative
I am thoroughly impressed with the build quality.,positive
The movie had some interesting moments but also slow patches.,neutral
The coffee was average for the neighbourhood.,neutral
The product is unsafe and I nearly injured myself.,negative
Worst value for money I have encountered.,negative
The staff ignored my disability and provided no assistance.,negative
Truly one of the best apps I've installed.,positive
I received personalised advice that was genuinely useful.,positive
Service was both efficient and genuinely friendly.,positive
The film's marketing was more interesting than the film.,negative
The product was counterfeit — not the brand advertised.,negative
The concert hall acoustics were phenomenal.,positive
The movie's soundtrack was appropriate without standing out.,neutral
The item was used despite being sold as new.,negative
The hotel charged me for a room I didn't stay in.,negative
It meets the basic requirements without excelling anywhere.,neutral
The service was adequate but not memorable.,neutral
The quality is shocking for the price charged.,negative
The breakfast selection was extensive and everything was fresh.,positive
Quality has declined significantly since my last purchase.,negative
Terrible service — I'll never return.,negative
The portion was adequate — neither generous nor stingy.,neutral
The pharmacy dispensed the wrong medication.,negative
Quality is reasonable for everyday use.,neutral
Absolutely fantastic service from start to finish.,positive
Refund was promised in writing and never received.,negative
"The product does what it says — nothing more, nothing less.",neutral
The packaging was easy to open and recycling-appropriate.,neutral
The in-app tutorial was genuinely useful and concise.,positive
The doctor was dismissive and failed to examine me.,negative
The experience was efficient and entirely adequate.,neutral
The product has been functional for the two weeks I've had it.,neutral
The film's marketing was more interesting than the film.,negative
The tablet's performance is adequate for basic tasks.,neutral
The entire team seemed undertrained and overwhelmed.,negative
I asked for a refund and was ignored.,negative
The product occupies a reasonable middle ground.,neutral
The room wasn't cleaned during my three-night stay.,negative
The reception staff answered my question competently.,neutral
The experience has made me distrust this brand entirely.,negative
"The doctor was thorough, attentive, and reassuring.",positive
Arrived on time and in acceptable condition.,neutral
I received personalised advice that was genuinely useful.,positive
The check-in process was the fastest I've ever experienced.,positive
The product broke within a week of use.,negative
The booking confirmation arrived within the standard window.,neutral
Arrived in perfect condition with excellent presentation.,positive
I appreciated the proactive communication about my order status.,positive
The product occupies a reasonable middle ground.,neutral
The room's cleanliness was acceptable.,neutral
The movie held my attention without captivating it.,neutral
The battery life on this device is genuinely impressive.,positive
The terms changed after payment — borderline fraudulent.,negative
The product is unsafe and I nearly injured myself.,negative
This is exactly what I needed at exactly the right time.,positive
Customer service followed the standard script competently.,neutral
The packaging was easy to open and recycling-appropriate.,neutral
The lecture content was correct if not engaging.,neutral
The portions were generous and the ingredients clearly fresh.,positive
The platform's features covered my needs without going further.,neutral
The experience was what I expected — no surprises either way.,neutral
Brilliantly made — this will last years.,positive
I had to chase the order four times before it arrived.,negative
No complaints — no particular compliments either.,neutral
The packaging was deceptive — the product was much smaller.,negative
The noise level in the restaurant was manageable.,neutral
The design is straightforward and sensible.,neutral
This is exactly what I needed at exactly the right time.,positive
The app froze during a critical transaction.,negative
Service was both efficient and genuinely friendly.,positive
I received my order ahead of schedule in perfect condition.,positive
The product broke within a week of use.,negative
"I wouldn't specifically recommend it, but I wouldn't discourage it.",neutral
The entire process was opaque and frustrating.,negative
The product's durability after six months of daily use is impressive.,positive
Typical experience for this type of service.,neutral
Every member of staff I encountered was helpful and professional.,positive
The performance in cold weather exceeded the stated specs.,positive
The rental car was clean and functional.,neutral
The online review matched the reality exactly.,positive
The booking process was smooth and clear.,positive
The wait time was within the stated range.,neutral
The rental car was clean and functional.,neutral
I'll definitely be returning as a customer.,positive
The checkout was neither fast nor slow.,neutral
I've filed a complaint with the relevant authority.,negative
The product exceeded all my expectations.,positive
"Not bad, but there are likely better options at this price.",neutral
The experience was efficient and entirely adequate.,neutral
The check-in process was the fastest I've ever experienced.,positive
Quality has declined significantly since my last purchase.,negative
The quality is shocking for the price charged.,negative
The portion size was acceptable.,neutral
The checkout flow was smooth and I had my order confirmed instantly.,positive
The cancellation process was straightforward.,neutral
"The product does what it says — nothing more, nothing less.",neutral
The room wasn't cleaned during my three-night stay.,negative
I was billed for a service I explicitly cancelled.,negative
The worst experience I have had in years.,negative
The film's marketing was more interesting than the film.,negative
The vehicle was not roadworthy and was still hired out.,negative
An ordinary result for an ordinary request.,neutral
The quality is outstanding for the price.,positive
The registration process took the expected amount of time.,neutral
The course content was outdated and inaccurate.,negative
The packaging was sustainable and thoughtfully designed.,positive
The app froze during a critical transaction.,negative
Reasonable value for a standard product.,neutral
The driver was rude and the vehicle was unsafe.,negative
The menu is varied enough for most tastes.,neutral
I received my order ahead of schedule in perfect condition.,positive
The product stopped working after minimal use.,negative
The food was fine but not exceptional.,neutral
The film's marketing was more interesting than the film.,negative
The room was spotless and the view was spectacular.,positive
The follow-up service was as good as the initial purchase.,positive
Rude staff who made me feel unwelcome.,negative
"I wouldn't specifically recommend it, but I wouldn't discourage it.",neutral
The experience met the description — no more.,neutral
The training sessions were practical and immediately applicable.,positive
The room was not cleaned between guests.,negative
The training sessions were practical and immediately applicable.,positive
Three weeks late and arrived damaged.,negative
The product broke within a week of use.,negative
The background music was appropriate but generic.,neutral
The cancellation process was straightforward.,neutral
The flavour was present but subtle.,neutral
The colour matched one of the product photo options.,neutral
The stay was the most unpleasant I've had.,negative
"I wouldn't specifically recommend it, but I wouldn't discourage it.",neutral
The quality is shocking for the price charged.,negative
My expectations were neither exceeded nor unmet.,neutral
The product resolved my problem on the first use.,positive
I am thoroughly impressed with the build quality.,positive
The customer service was the most frustrating I have encountered.,negative
The room wasn't cleaned during my three-night stay.,negative
Refund was promised in writing and never received.,negative
The food gave me food poisoning.,negative
I was greeted warmly and made to feel genuinely welcome.,positive
The end result exceeded the brief I had given.,positive
The seller was aggressive when I raised the issue.,negative
"The doctor was thorough, attentive, and reassuring.",positive
I asked for a refund and was ignored.,negative
The online review matched the reality exactly.,positive
The film's runtime matched its story's ambitions — no more.,neutral
I received personalised advice that was genuinely useful.,positive
I recommended it to everyone in my family.,positive
The product stopped working after minimal use.,negative
The instructions were adequate once I reread them.,neutral
The script and direction were both outstanding.,positive
Staff were dismissive and unhelpful.,negative
The wait time was within the stated range.,neutral
The film's resolution undermined everything that came before.,negative
The customer service was the most frustrating I have encountered.,negative
The surgery recovery was more painful than described.,negative
The experience left me with nothing to complain about.,positive
The food arrived stone cold and inedible.,negative
